0.4313,3.7333,2.8467,8.9094
0.4166,3.6667,2.7667,8.9259
0.4067,3.7667,2.8300,8.6053
0.4031,3.8333,2.8233,4.6110
0.4081,4.6667,2.7067,1.2694
0.4147,5.8667,2.7067,-0.4167
0.4115,6.7000,2.6300,-2.7322
0.4145,6.9667,2.5967,-2.2039
0.4027,6.4000,2.5767,-1.5320
0.3952,5.5667,2.6100,-0.4184
0.3770,4.6333,2.6333,1.9663
0.3666,4.2333,2.6700,4.3662
0.3533,3.5000,2.7000,9.0523
0.3481,3.1000,2.9000,8.9636
0.3456,3.1667,2.8867,7.1625
0.3482,3.3667,2.9533,6.6127
0.3499,3.0667,2.9567,2.8534
0.3516,2.9667,2.9333,2.1851
0.3483,3.2333,2.9467,2.8278
0.3396,2.8333,2.9867,1.3924
0.3354,2.7000,3.0700,0.6305
0.3343,2.5667,3.3233,0.8805
0.3357,2.7333,3.2700,0.7500
0.3407,3.7000,3.1333,0.8739
0.3423,5.2667,2.9567,1.2531
0.3426,5.8000,2.8767,0.6234
0.3411,5.9667,2.8833,0.0000
0.3372,5.3333,2.8867,-0.6188
0.3300,4.7333,2.9600,-0.4950
0.3256,4.4000,3.0333,-0.4957
0.3203,4.1000,3.1000,-0.2481
0.3157,4.2333,3.1167,0.3736
0.3156,4.0333,3.0967,0.2488
0.3121,4.2000,3.2600,0.9963
0.3083,4.1333,3.4233,1.9900
0.3037,4.1333,3.6767,2.4814
0.2984,3.9333,3.7000,3.4739
0.2972,4.1000,3.7733,3.5758
0.2925,4.2333,4.0700,3.4146
0.2941,4.9333,3.9967,3.1477
0.2989,6.3000,3.6067,3.3573
0.2994,7.3667,3.5800,3.2143
0.2937,7.3333,3.8700,2.2406
0.2892,6.3667,4.0933,1.9953
0.2858,5.8333,4.1300,0.9281
0.2804,5.1000,4.3533,0.4614
0.2807,5.2667,4.4733,1.1534
0.2768,5.6000,4.5700,1.4960
0.2675,5.1333,4.5533,1.3793
0.2660,5.2333,4.4533,1.8370
0.2645,5.5333,4.3133,1.2543
0.2688,6.2667,4.3200,1.3605
0.2681,6.8000,4.2700,1.3605
0.2645,7.0000,4.2833,0.7892
0.2610,6.7667,4.4367,1.1261
0.2572,6.2000,4.4100,0.6711
0.2528,5.6333,4.4100,1.0067
0.2514,5.5333,4.2967,1.3423
0.2482,5.5667,4.3367,1.2249
0.2482,5.5333,4.2567,1.3333
0.2470,5.7667,4.1967,1.2182
0.2457,5.7333,4.2200,1.1038
0.2431,5.5000,4.2867,1.4301
0.2418,5.5667,4.3333,1.4254
0.2373,5.4667,4.3767,1.4223
0.2356,5.2000,4.4067,1.5284
0.2353,5.0000,4.4100,1.0846
0.2366,4.9667,4.4300,1.1892
0.2315,4.9000,4.4200,1.2945
0.2287,4.6667,4.4433,1.6129
0.2260,4.3667,4.4967,1.7167
0.2232,4.1000,4.6133,1.9231
0.2202,3.8667,4.8133,2.4494
0.2200,3.8333,5.0033,2.7513
0.2156,3.7667,5.3200,3.3755
